2026-02-11 02:15:37,843 [INFO] theta033_xy03_N301: progress: 15.78 %, estimated time: 6968.34 [sec]
2026-02-11 02:15:47,443 [INFO] theta033_xy03_N301: progress: 15.89 %, estimated time: 6961.68 [sec]
2026-02-11 02:15:56,543 [INFO] theta033_xy03_N301: progress: 16.00 %, estimated time: 6952.36 [sec]
2026-02-11 02:16:05,490 [INFO] theta033_xy03_N301: progress: 16.11 %, estimated time: 6942.23 [sec]
2026-02-11 02:16:14,613 [INFO] theta033_xy03_N301: progress: 16.22 %, estimated time: 6933.04 [sec]
2026-02-11 02:16:23,608 [INFO] theta033_xy03_N301: progress: 16.34 %, estimated time: 6923.20 [sec]
2026-02-11 02:16:32,961 [INFO] theta033_xy03_N301: progress: 16.45 %, estimated time: 6915.18 [sec]
2026-02-11 02:16:42,279 [INFO] theta033_xy03_N301: progress: 16.56 %, estimated time: 6906.96 [sec]
2026-02-11 02:16:51,695 [INFO] theta033_xy03_N301: progress: 16.67 %, estimated time: 6899.23 [sec]
2026-02-11 02:17:00,027 [INFO] theta033_xy03_N301: progress: 16.78 %, estimated time: 6886.09 [sec]
2026-02-11 02:17:08,955 [INFO] theta033_xy03_N301: progress: 16.89 %, estimated time: 6875.95 [sec]
2026-02-11 02:17:18,236 [INFO] theta033_xy03_N301: progress: 17.00 %, estimated time: 6867.55 [sec]
2026-02-11 02:17:27,473 [INFO] theta033_xy03_N301: progress: 17.11 %, estimated time: 6858.93 [sec]
2026-02-11 02:17:36,835 [INFO] theta033_xy03_N301: progress: 17.22 %, estimated time: 6850.89 [sec]
2026-02-11 02:17:46,040 [INFO] theta033_xy03_N301: progress: 17.33 %, estimated time: 6842.10 [sec]
2026-02-11 02:17:54,897 [INFO] theta033_xy03_N301: progress: 17.44 %, estimated time: 6831.65 [sec]
2026-02-11 02:18:04,461 [INFO] theta033_xy03_N301: progress: 17.55 %, estimated time: 6824.54 [sec]
2026-02-11 02:18:13,251 [INFO] theta033_xy03_N301: progress: 17.66 %, estimated time: 6813.79 [sec]
2026-02-11 02:18:22,212 [INFO] theta033_xy03_N301: progress: 17.77 %, estimated time: 6803.86 [sec]
2026-02-11 02:18:31,542 [INFO] theta033_xy03_N301: progress: 17.88 %, estimated time: 6795.63 [sec]
2026-02-11 02:18:40,568 [INFO] theta033_xy03_N301: progress: 17.99 %, estimated time: 6786.01 [sec]
2026-02-11 02:18:49,668 [INFO] theta033_xy03_N301: progress: 18.10 %, estimated time: 6776.73 [sec]
2026-02-11 02:18:58,738 [INFO] theta033_xy03_N301: progress: 18.21 %, estimated time: 6767.31 [sec]
2026-02-11 02:19:08,039 [INFO] theta033_xy03_N301: progress: 18.32 %, estimated time: 6758.93 [sec]
2026-02-11 02:19:17,260 [INFO] theta033_xy03_N301: progress: 18.43 %, estimated time: 6750.18 [sec]
2026-02-11 02:19:26,573 [INFO] theta033_xy03_N301: progress: 18.54 %, estimated time: 6741.83 [sec]
2026-02-11 02:19:35,603 [INFO] theta033_xy03_N301: progress: 18.65 %, estimated time: 6732.24 [sec]
2026-02-11 02:19:44,298 [INFO] theta033_xy03_N301: progress: 18.76 %, estimated time: 6721.20 [sec]
2026-02-11 02:19:53,541 [INFO] theta033_xy03_N301: progress: 18.87 %, estimated time: 6712.55 [sec]
2026-02-11 02:20:02,944 [INFO] theta033_xy03_N301: progress: 18.98 %, estimated time: 6704.57 [sec]
2026-02-11 02:20:11,649 [INFO] theta033_xy03_N301: progress: 19.09 %, estimated time: 6693.61 [sec]
2026-02-11 02:20:20,927 [INFO] theta033_xy03_N301: progress: 19.21 %, estimated time: 6685.10 [sec]
2026-02-11 02:20:29,778 [INFO] theta033_xy03_N301: progress: 19.32 %, estimated time: 6674.79 [sec]
2026-02-11 02:20:39,010 [INFO] theta033_xy03_N301: progress: 19.43 %, estimated time: 6666.08 [sec]
2026-02-11 02:20:47,763 [INFO] theta033_xy03_N301: progress: 19.54 %, estimated time: 6655.39 [sec]
2026-02-11 02:20:57,002 [INFO] theta033_xy03_N301: progress: 19.65 %, estimated time: 6646.71 [sec]
2026-02-11 02:21:06,307 [INFO] theta033_xy03_N301: progress: 19.76 %, estimated time: 6638.29 [sec]
2026-02-11 02:21:15,018 [INFO] theta033_xy03_N301: progress: 19.87 %, estimated time: 6627.47 [sec]
2026-02-11 02:21:24,303 [INFO] theta033_xy03_N301: progress: 19.98 %, estimated time: 6618.96 [sec]
2026-02-11 02:21:33,526 [INFO] theta033_xy03_N301: progress: 20.09 %, estimated time: 6610.20 [sec]
2026-02-11 02:21:42,148 [INFO] theta033_xy03_N301: progress: 20.20 %, estimated time: 6599.07 [sec]
2026-02-11 02:21:51,661 [INFO] theta033_xy03_N301: progress: 20.31 %, estimated time: 6591.46 [sec]
2026-02-11 02:22:00,622 [INFO] theta033_xy03_N301: progress: 20.42 %, estimated time: 6581.67 [sec]
2026-02-11 02:22:09,741 [INFO] theta033_xy03_N301: progress: 20.53 %, estimated time: 6572.50 [sec]
2026-02-11 02:22:18,669 [INFO] theta033_xy03_N301: progress: 20.64 %, estimated time: 6562.61 [sec]
2026-02-11 02:22:28,113 [INFO] theta033_xy03_N301: progress: 20.75 %, estimated time: 6554.69 [sec]
2026-02-11 02:22:36,788 [INFO] theta033_xy03_N301: progress: 20.86 %, estimated time: 6543.84 [sec]
2026-02-11 02:22:46,099 [INFO] theta033_xy03_N301: progress: 20.97 %, estimated time: 6535.41 [sec]
2026-02-11 02:22:55,591 [INFO] theta033_xy03_N301: progress: 21.08 %, estimated time: 6527.64 [sec]
2026-02-11 02:23:04,300 [INFO] theta033_xy03_N301: progress: 21.19 %, estimated time: 6516.95 [sec]
2026-02-11 02:23:13,781 [INFO] theta033_xy03_N301: progress: 21.30 %, estimated time: 6509.13 [sec]
2026-02-11 02:23:22,508 [INFO] theta033_xy03_N301: progress: 21.41 %, estimated time: 6498.53 [sec]
2026-02-11 02:23:31,856 [INFO] theta033_xy03_N301: progress: 21.52 %, estimated time: 6490.20 [sec]
2026-02-11 02:23:40,939 [INFO] theta033_xy03_N301: progress: 21.63 %, estimated time: 6480.91 [sec]
2026-02-11 02:23:49,877 [INFO] theta033_xy03_N301: progress: 21.74 %, estimated time: 6471.10 [sec]
2026-02-11 02:23:59,042 [INFO] theta033_xy03_N301: progress: 21.85 %, estimated time: 6462.11 [sec]
2026-02-11 02:24:07,996 [INFO] theta033_xy03_N301: progress: 21.96 %, estimated time: 6452.37 [sec]
2026-02-11 02:24:17,039 [INFO] theta033_xy03_N301: progress: 22.07 %, estimated time: 6442.95 [sec]
2026-02-11 02:24:26,449 [INFO] theta033_xy03_N301: progress: 22.19 %, estimated time: 6434.82 [sec]
2026-02-11 02:24:35,536 [INFO] theta033_xy03_N301: progress: 22.30 %, estimated time: 6425.55 [sec]
2026-02-11 02:24:44,700 [INFO] theta033_xy03_N301: progress: 22.41 %, estimated time: 6416.55 [sec]
2026-02-11 02:24:53,836 [INFO] theta033_xy03_N301: progress: 22.52 %, estimated time: 6407.45 [sec]
2026-02-11 02:25:03,056 [INFO] theta033_xy03_N301: progress: 22.63 %, estimated time: 6398.64 [sec]
2026-02-11 02:25:11,808 [INFO] theta033_xy03_N301: progress: 22.74 %, estimated time: 6388.24 [sec]
2026-02-11 02:25:20,966 [INFO] theta033_xy03_N301: progress: 22.85 %, estimated time: 6379.22 [sec]
2026-02-11 02:25:30,217 [INFO] theta033_xy03_N301: progress: 22.96 %, estimated time: 6370.51 [sec]
2026-02-11 02:25:39,139 [INFO] theta033_xy03_N301: progress: 23.07 %, estimated time: 6360.70 [sec]
2026-02-11 02:25:48,330 [INFO] theta033_xy03_N301: progress: 23.18 %, estimated time: 6351.80 [sec]
